id,x1,y1,x2,y2,score
0,706.513,108.207,751.953,206.807,0.635147
1,754.747,85.729,841.292,174.246,0.168056
2,687.316,121.086,766.417,196.93,0.227007
3,708.892,98.7299,804.015,156.773,0.667788
4,738.733,133.523,794.025,165.36,0.732573
5,748.029,125.029,834.134,156.211,0.194962
6,725.01,116.324,793.961,212.213,0.408971
7,711.772,152.869,769.101,236.785,0.46939
8,748.153,150.814,834.436,200.861,0.513283
9,764.167,113.813,844.57,176.29,0.778046
10,726.299,81.4402,757.372,121.175,0.611585
11,728.875,84.0411,807.773,116.29,0.700833
12,730.745,132.84,820.96,163.872,0.590825
13,702.115,77.3183,741.817,131.789,0.740465
14,759.461,72.3706,789.209,164.81,0.254064
15,749.946,143.649,782.032,215.482,0.715088
16,746.159,136.496,836.33,165.522,0.871442
17,760.117,87.0452,841.168,135.717,0.959973
18,744.631,121.939,799.692,154.652,0.30729
19,699.731,75.9449,789.888,150.426,0.311317
20,748.75,93.4673,821.743,129.305,0.291668
21,673.808,74.3521,761.87,147.19,0.328942
22,717.713,118.986,810.077,202.705,0.420664
23,734.561,120.122,791.549,169.449,0.578654
24,716.988,125.085,737.692,176.574,0.216767
25,733.669,125.647,825.663,155.77,0.726754
26,746.539,153.334,792.468,233.494,0.214654
27,731.273,94.4764,823.347,189.568,0.771704
28,694.131,139.958,764.774,183.391,0.107468
29,699.252,104.324,765.724,149.971,0.142332
30,746.224,113.765,844.085,184.75,0.57905
31,753.347,138.679,799.718,202.337,0.548769
32,750.657,153.008,837.417,193.005,0.672734
33,756.9,82.8675,805.618,159.593,0.524099
34,764.956,79.4817,845.642,149.22,0.554588
35,767.15,77.3783,803.864,161.687,0.386445
36,759.837,132.841,845.107,170.545,0.616674
37,716.163,129.554,772.811,169.522,0.180324
38,750.016,154.089,846.587,199.701,0.791374
39,724.033,116.027,774.841,148.627,0.350341
40,716.499,97.4636,797.418,190.273,0.450404
41,673.698,70.1028,741.364,100.361,0.390857
42,738.615,147.037,823.267,205.099,0.665022
43,669.617,149.622,721.786,187.979,0.119418
44,708.5,137.905,804.936,163.322,0.795545
45,667.838,97.8862,716.824,131.808,0.201797
46,757.999,151.848,855.675,241.011,0.210296
47,755.471,156.049,802.8,209.393,0.41246
48,696.072,132.492,744.284,182.308,0.15871
49,710.372,160.994,774.967,229.76,0.455121
50,732.422,84.654,806.924,112.396,0.672247
51,717.122,103.732,781.177,133.035,0.862223
52,728.814,117.642,793.182,153.041,0.629578
53,686.011,166.795,785.409,191.283,0.367682
54,693.937,107.68,717.415,191.163,0.830328
55,678.223,87.9956,737.619,185.826,0.713827
56,726.16,95.573,818.914,165.62,0.176243
57,694.647,103.556,740.844,194.395,0.205835
58,714.022,122.878,780.89,218.079,0.431239
59,767.462,159.753,824.615,223.434,0.311685
60,715.217,72.6826,739.019,93.0639,0.674115
61,755.377,137.242,800.631,219.706,0.88095
62,756.762,88.9377,831.156,125.268,0.356241
63,736.108,98.1565,798.901,137.607,0.42525
64,700.013,75.2086,777.475,122.786,0.960707
65,758.188,89.212,857.138,112.855,0.716357
66,703.929,124.75,773.884,207.156,0.913589
67,711.201,94.4426,783.583,174.607,0.754286
68,720.436,68.2092,808.21,119.315,0.237673
69,690.96,152.787,752.385,221.264,0.696511
70,737.373,106.974,771.566,194.823,0.409648
71,734.682,89.0277,792.678,140.308,0.828198
72,711.828,83.2058,804.216,129.485,0.431391
73,684.24,129.359,708.151,190.847,0.447077
74,671.504,109.258,694.689,170.281,0.229528
75,721.791,129.154,775.719,162.125,0.52295
76,732.331,77.6234,822.409,172.906,0.593475
77,744.144,123.648,784.206,170.061,0.65804
78,767.173,122.032,788.658,151.837,0.596393
79,694.539,141.571,715.142,223.536,0.244468
80,726.676,119.954,802.849,181.004,0.379006
81,725.89,105.102,747.775,172.554,0.691225
82,667.643,92.6885,729.335,120.601,0.521249
83,713.405,141.428,791.495,207.017,0.133844
84,732.218,164.788,830.849,213.074,0.286597
85,688.929,122.237,738.971,217.526,0.739044
86,672.67,81.8212,698.026,146.996,0.933566
87,728.038,73.3456,823.145,136.639,0.441918
88,719.463,83.0634,765.487,107.222,0.263501
89,700.587,122.027,750.282,187.26,0.78861
90,673.173,122.446,735.097,185.776,0.928989
91,726.163,73.1521,786.215,126.915,0.239055
92,682.697,128.113,724.318,154.011,0.214215
93,676.491,78.5583,719.67,132.882,0.455031
