id,x1,y1,x2,y2,score
0,237.894,785.647,437.6,925.685,0.663699
1,323.113,491.647,505.624,537.327,0.526499
2,36.9603,160.144,151.632,212.807,0.241657
3,106.136,757.418,221.779,785.884,0.105447
4,310.893,702.885,458.468,847.091,0.405356
5,245.888,39.6953,344.943,160.444,0.274433
6,43.121,204.879,223.891,235.926,0.799752
7,683.916,491.366,856.909,581.729,0.23972
8,80.3003,224.529,174.016,362.559,0.593984
9,464.252,378.914,545.249,532.058,0.393268
10,708.103,733.564,830.066,881.472,0.77908
11,556.36,785.047,664.475,957.416,0.402471
12,386.533,471.379,549.247,628.443,0.499577
13,63.6184,430.812,113.769,488.809,0.877849
14,690.091,36.9741,767.568,178.013,0.444164
15,184.34,790.778,277.986,951.414,0.25316
16,556.449,632.914,693.556,750.074,0.207418
17,744.371,286.271,784.639,362.646,0.478646
18,198.989,748.055,309.966,905.909,0.365801
19,771.964,419.636,965.152,461.787,0.828075
20,774.82,717.784,883.899,887.776,0.656419
21,707.135,197.48,897.718,296.788,0.65463
22,606.552,683.046,769.27,800.277,0.290996
23,182.347,24.7736,353.554,146.157,0.28384
24,332.122,44.7707,379.089,134.314,0.187008
25,715.114,336.605,899.311,391.62,0.737568
26,776.57,252.802,966.934,389.193,0.974608
27,690.473,784.613,778.252,873.788,0.496442
28,149.625,181.423,312.388,201.64,0.767622
29,431.697,221.296,556.363,352.941,0.222137
30,133.657,656.38,192.922,757.8,0.952238
31,647.137,389.178,690.712,422.485,0.674249
32,171.606,38.7174,354.767,81.2966,0.210415
33,683.055,749.457,754.43,874.908,0.168246
34,217.489,660.179,390.271,739.135,0.852466
35,147.748,398.035,173.818,473.872,0.242373
36,336.708,276.301,519.995,417.547,0.861995
37,575.689,674.255,625.061,812.154,0.255263
38,461.86,174.339,539.868,349.337,0.483475
39,133.568,171.138,287.543,281.156,0.119147
40,704.928,394.307,861.447,426.156,0.824275
41,753.304,30.099,939.599,228.156,0.467773
42,257.248,497.148,418.441,522.692,0.307997
43,314.875,79.7557,468.891,113.555,0.311784
44,744.302,33.5275,881.289,116.96,0.310852
45,619.193,304.434,775.541,402.463,0.979467
46,611.636,598.651,693.954,692.962,0.84529
47,35.3903,299.071,145.634,408.915,0.774314
48,320.885,799.304,416.657,966.484,0.164717
49,316.829,324.042,497.401,429.687,0.745687
50,703.317,550.046,893.214,589.241,0.537831
51,90.6441,24.5147,283.853,130.437,0.219129
52,121.706,295.981,262.149,393.524,0.226181
53,559.725,639.424,597.975,818.24,0.21987
54,761.985,57.269,954.57,253.885,0.289619
55,362.237,682.645,399.225,837.62,0.446123
56,16.912,640.372,48.7534,682.33,0.340504
57,474.455,264.057,607.088,323.599,0.946334
58,582.006,393.964,747.726,561.421,0.445118
59,280.825,240.489,435.452,380.519,0.719269
60,468.484,730.52,573.947,773.758,0.502475
61,714.779,731.934,837.922,918.157,0.444506
62,373.467,426.023,415.825,591.954,0.111002
63,70.8031,80.2089,237.088,104.123,0.213042
